"Sample1","Sample2","BC","jaccard","JSD","Group"
"Control.A19","PsO.C30",0.560407907157854,0.718283859735866,5.28915921485985,"Relatives-Psoriasis"
"Control.A19","PsO.C31",0.793857968163286,0.885084529826081,6.75779963950064,"Relatives-Psoriasis"
"Control.A19","PsO.C32",0.891239226641764,0.942492323643604,7.31375427181984,"Relatives-Psoriasis"
"Control.A19","PsO.C33",0.846994401943147,0.917159685001816,7.23232147683641,"Relatives-Psoriasis"
"Control.A19","PsO.C34",0.925276087050768,0.961187949379407,7.59604973848234,"Relatives-Psoriasis"
"Control.A19","PsO.C35",0.371908715465105,0.542177057806678,3.64321720815329,"Relatives-Psoriasis"
"Control.A19","PsO.C36",0.609161791198881,0.757116897170464,5.76151613956216,"Relatives-Psoriasis"
"Control.A19","PsO.C37",0.613202385769392,0.760229951528289,5.51790527535845,"Relatives-Psoriasis"
"Control.A19","PsO.C38",0.826175312653431,0.904814895841516,6.87502335997173,"Relatives-Psoriasis"
"Control.A19","PsO.C39",0.878958142681614,0.935580333287447,7.2361557157142,"Relatives-Psoriasis"
"Control.A19","PsO.C40",0.343834816152331,0.511721845601231,3.76998624330625,"Relatives-Psoriasis"
"Control.A19","PsO.C41",0.650356176911717,0.788140385705972,5.73395744222337,"Relatives-Psoriasis"
"Control.A19","PsO.C42",0.930587483416257,0.964045909765812,7.69070171203638,"Relatives-Psoriasis"
"Control.A19","PsO.C43",0.673105165912763,0.804617880126561,6.18771101682156,"Relatives-Psoriasis"
"Control.A19","PsO.C44",0.888823925733376,0.941140054002939,7.43426800608681,"Relatives-Psoriasis"
"Control.A19","PsO.C45",0.871567611013145,0.931377104288885,7.17556510823613,"Relatives-Psoriasis"
"Control.A19","PsO.C46",0.673374674403244,0.804810404631446,6.12691724867409,"Relatives-Psoriasis"
"Control.A19","PsO.C47",0.578508222033925,0.732980942333656,5.44473977303801,"Relatives-Psoriasis"
"Control.A19","PsO.C48",0.92980812046921,0.963627534371799,7.61748044165282,"Relatives-Psoriasis"
"Control.A19","PsO.C49",0.801805384585724,0.890002207169647,6.78097662239975,"Relatives-Psoriasis"
