feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Butyricimonas_synergistica	BMI	BMI	-0.000178996817307839	9.67068197432276e-05	56	10	0.069864294267223	0.659383589655642
s__Butyricimonas_synergistica	Disease	Psoriasis	0.000417205938725057	0.000206402098021677	56	10	0.0484072745064253	0.659383589655642
s__Holdemanella_porci	BMI	BMI	-0.000170957127822183	7.27340250656499e-05	56	9	0.0225797114146641	0.659383589655642
s__Parabacteroides_goldsteinii	Gender	Male	0.0315228212332087	0.017773187321914	56	33	0.0819824071911654	0.659383589655642
s__Faecalibacterium_prausnitzii	Disease	Psoriasis	-0.0219434960998014	0.00950035932183121	56	56	0.0249049779393673	0.659383589655642
s__Fusicatenibacter_saccharivorans	Disease	Psoriasis	-0.00107530711924099	0.000519279804874116	56	45	0.0433613220476126	0.659383589655642
s__Eubacterium_rectale	BMI	BMI	-0.00189831433905104	0.000908132273377582	56	48	0.0414927263173899	0.659383589655642
s__Longicatena_caecimuris	Disease	Psoriasis	-0.00011253389849929	6.26426348327883e-05	56	8	0.0782339371525786	0.659383589655642
s__Oxalobacter_formigenes	BMI	BMI	-4.62804816282187e-05	2.41803000422272e-05	56	15	0.0611343880174416	0.659383589655642
s__Parasutterella_SGB9260	Disease	Psoriasis	0.00162313810302324	0.000807720743329299	56	15	0.0496837774042406	0.659383589655642
s__Adlercreutzia_equolifaciens	Gender	Male	0.000110851087236428	5.70936943591404e-05	56	20	0.0576172049946089	0.659383589655642
s__Adlercreutzia_equolifaciens	Disease	Psoriasis	-0.000140871110137108	5.63723676885466e-05	56	20	0.0156534483499757	0.659383589655642
s__Klebsiella_variicola	Gender	Male	-0.0206748141845247	0.0101410244126383	56	16	0.0465758596783481	0.659383589655642
s__Klebsiella_variicola	BMI	BMI	0.00898798842611681	0.00469140528122722	56	16	0.0608907716405818	0.659383589655642
s__Eubacteriaceae_bacterium	Disease	Psoriasis	-7.6218803557458e-05	3.55531516437472e-05	56	15	0.036745674879187	0.659383589655642
s__Klebsiella_pneumoniae	Gender	Male	-0.0084077260334052	0.00419509852799701	56	40	0.050272215445006	0.659383589655642
s__Klebsiella_pneumoniae	BMI	BMI	0.00373529550005359	0.00194072182342706	56	40	0.0597467160121198	0.659383589655642
s__Klebsiella_pneumoniae	Disease	Psoriasis	0.00797583114679732	0.0041420972905052	56	40	0.0596365747645754	0.659383589655642
s__Clostridiaceae_bacterium	BMI	BMI	-0.000270155644337565	0.00014134267256424	56	44	0.0614780187930023	0.659383589655642
s__Clostridiaceae_bacterium	Disease	Psoriasis	-0.000665445421837494	0.000301668736855479	56	44	0.0318352487759339	0.659383589655642
s__Mediterraneibacter_butyricigenes	BMI	BMI	-1.08476845600969e-05	6.16243102255307e-06	56	14	0.084238882027472	0.659383589655642
s__Intestinimonas_massiliensis	Gender	Male	-6.62375608731697e-05	3.39975511487139e-05	56	11	0.0567848386403324	0.659383589655642
s__Intestinimonas_massiliensis	BMI	BMI	-3.09165375142009e-05	1.57278283256172e-05	56	11	0.0546811373090525	0.659383589655642
s__Intestinimonas_massiliensis	Disease	Psoriasis	6.51857496958256e-05	3.35680231482278e-05	56	11	0.0575754960752225	0.659383589655642
s__Desulfovibrio_piger	BMI	BMI	-0.000485276493740688	0.000239328349672911	56	14	0.0477336988832956	0.659383589655642
s__Enterobacter_hormaechei	BMI	BMI	0.000200689832331663	0.000111255356716145	56	13	0.0770461259188255	0.659383589655642
s__Lawsonibacter_asaccharolyticus	Disease	Psoriasis	-0.00040308769250489	0.000170292007125681	56	33	0.02168839638664	0.659383589655642
s__Desulfovibrio_SGB5077	BMI	BMI	0.000577153170392943	0.000240404742492071	56	8	0.0199739479177659	0.659383589655642
s__Bifidobacterium_adolescentis	Gender	Male	0.000671251077449922	0.000339792081620927	56	12	0.0535325585235393	0.659383589655642
s__Faecalibacillus_intestinalis	BMI	BMI	0.000536433571480543	0.00030202197854728	56	33	0.0815606484320069	0.659383589655642
s__Phascolarctobacterium_faecium	BMI	BMI	-0.00211065866713088	0.000969398883226724	56	54	0.0340201826099381	0.659383589655642
s__Phascolarctobacterium_faecium	Disease	Psoriasis	0.00364985636526648	0.00206899538056496	56	54	0.0835937262456784	0.659383589655642
s__Clostridiales_bacterium	Gender	Male	0.000446125256974973	0.000211850008939361	56	40	0.0400635205564905	0.659383589655642
s__Clostridiales_bacterium	Disease	Psoriasis	-0.000521861620828854	0.000209173477610835	56	40	0.0158140100201265	0.659383589655642
s__Clostridiaceae_bacterium_AF18_31LB	Gender	Male	0.000434929212830901	0.000213822718196609	56	37	0.0470608471236277	0.659383589655642
s__Methylobacterium_SGB15164	BMI	BMI	-0.00012111349624559	5.35486682982567e-05	56	8	0.0279211554645003	0.659383589655642
s__Methylobacterium_SGB15164	Disease	Psoriasis	0.000230369740399405	0.000114289328429715	56	8	0.0490155385456696	0.659383589655642
s__Bifidobacterium_pseudocatenulatum	Gender	Male	-0.00364183652987224	0.0018670260619661	56	34	0.0565025992317787	0.659383589655642
s__Bifidobacterium_pseudocatenulatum	BMI	BMI	0.00156788527595864	0.000863717073433004	56	34	0.0752501319632936	0.659383589655642
s__Hydrogenoanaerobacterium_saccharovorans	BMI	BMI	-0.00013474777821067	5.5862076185068e-05	56	24	0.019422671834498	0.659383589655642
s__Clostridiaceae_bacterium_Marseille_Q4143	Disease	Psoriasis	-0.000150638516638078	6.85122414793395e-05	56	18	0.0323712828853464	0.659383589655642
s__Clostridiaceae_bacterium_Marseille_Q4145	Disease	Psoriasis	-6.50594137335867e-05	2.99227099858528e-05	56	10	0.034259840383605	0.659383589655642
s__Phascolarctobacterium_succinatutens	Gender	Male	-0.00146998087852502	0.000788655549484291	56	6	0.0679849780498115	0.659383589655642
s__Candidatus_Allochristensenella_caecavium	Disease	Psoriasis	-6.39527855540245e-06	3.561382324066e-06	56	11	0.0783488678680346	0.659383589655642
s__GGB3818_SGB5183	BMI	BMI	-9.36406825126475e-06	5.739871233698e-06	56	10	0.10884685228529	0.670432025996916
s__GGB9359_SGB14334	Gender	Male	0.000257481112013052	0.000152631485685931	56	9	0.097604654850125	0.670432025996916
s__GGB9359_SGB14334	Disease	Psoriasis	-0.000249744624266809	0.000150703126299952	56	9	0.103501931449634	0.670432025996916
s__GGB58714_SGB5072	BMI	BMI	0.000178217937534698	0.000104005937111301	56	6	0.0925703543828632	0.670432025996916
s__GGB4578_SGB6328	Disease	Psoriasis	0.000632147240273407	0.000390855100739108	56	8	0.111854946182797	0.670432025996916
s__Phocea_massiliensis	BMI	BMI	-3.78906227392437e-05	2.28213033379307e-05	56	31	0.102869677785498	0.670432025996916
s__Dorea_formicigenerans	Disease	Psoriasis	5.90273510614804e-05	3.59524044864487e-05	56	37	0.106662441925665	0.670432025996916
s__Waltera_intestinalis	Disease	Psoriasis	-0.0068891829680023	0.00418599953016656	56	42	0.105843466319242	0.670432025996916
s__Coprococcus_comes	Gender	Male	0.000244225879203705	0.000142436924418633	56	30	0.0923689097206787	0.670432025996916
s__Clostridium_sp_AT4	BMI	BMI	0.000710394083555619	0.000431077189370669	56	28	0.105392828956814	0.670432025996916
s__Clostridium_SGB4750	BMI	BMI	-0.00041436827657838	0.000247580940234071	56	28	0.1002017339072	0.670432025996916
s__Vescimonas_SGB15087	BMI	BMI	-0.000345140826279602	0.000201423889498848	56	8	0.092576146340875	0.670432025996916
s__Prevotella_SGB1680	Disease	Psoriasis	0.00818337778368545	0.00482043903234977	56	24	0.095553251644845	0.670432025996916
s__GGB4684_SGB6478	Gender	Male	0.000932695533086737	0.000564649472982334	56	9	0.104599456493668	0.670432025996916
s__Vescimonas_coprocola	BMI	BMI	-0.000110847069954067	6.66224654104752e-05	56	26	0.102166433865288	0.670432025996916
s__Bacteroides_nordii	Disease	Psoriasis	-0.0158617461198079	0.0097398480061546	56	38	0.109454472137925	0.670432025996916
s__Ruminococcus_bromii	Disease	Psoriasis	-0.00208611629284574	0.00123980233719573	56	32	0.0984446555555765	0.670432025996916
s__Prevotella_stercorea	BMI	BMI	0.0161928938224103	0.00959944671200911	56	45	0.0976219252144536	0.670432025996916
s__Lachnotalea_sp_AF33_28	Gender	Male	1.15370326002013e-05	6.88377094448046e-06	56	8	0.0997463381045911	0.670432025996916
s__Veillonella_atypica	Disease	Psoriasis	-0.000131620532572402	7.99651386534588e-05	56	15	0.10580084196521	0.670432025996916
s__Phocaeicola_faecicola	Gender	Male	0.000732163333881528	0.000446385465392629	56	6	0.106998915473338	0.670432025996916
s__Phocaeicola_faecicola	Disease	Psoriasis	-0.000736372489586794	0.000440745792830406	56	6	0.100781573492874	0.670432025996916
s__Streptococcus_SGB15012	Gender	Male	0.000139386545017409	8.49620586153623e-05	56	7	0.106921803238919	0.670432025996916
s__Ruminococcus_sp_AF41_9	Gender	Male	4.66284857514837e-05	2.87804068111693e-05	56	6	0.111250139379852	0.670432025996916
s__Prevotella_copri_clade_G	Gender	Male	0.00188697426623361	0.0011467959432917	56	9	0.105912989295881	0.670432025996916
s__Clostridium_scindens	Disease	Psoriasis	-8.05605993451041e-05	4.97735274894605e-05	56	10	0.111595904619909	0.670432025996916
s__Butyricicoccus_sp_AM29_23AC	BMI	BMI	-0.000261222671964529	0.000158748496351489	56	12	0.105896202889346	0.670432025996916
s__Odoribacter_splanchnicus	Gender	Male	0.0017182613130832	0.000997269724540457	56	32	0.09083743157449	0.670432025996916
s__Cloacibacillus_evryensis	Gender	Male	0.000116945862404468	6.94030926491266e-05	56	7	0.0979772014081332	0.670432025996916
s__Cloacibacillus_evryensis	Disease	Psoriasis	-0.000114819792318448	6.85262479763226e-05	56	7	0.099828374694857	0.670432025996916
s__GGB9534_SGB14937	BMI	BMI	-8.53093205991912e-05	5.24222892189178e-05	56	17	0.109708258936537	0.670432025996916
s__Butyricimonas_synergistica	Gender	Male	-0.000363937185302284	0.000209043167472442	56	10	0.0876037056513829	0.670432025996916
s__Holdemanella_porci	Disease	Psoriasis	0.000259712013913897	0.000155236780725205	56	9	0.100332732382941	0.670432025996916
s__Parabacteroides_goldsteinii	Disease	Psoriasis	-0.0284998256530474	0.0175486393367002	56	33	0.110412785496047	0.670432025996916
s__Agathobaculum_butyriciproducens	BMI	BMI	-0.000250466498979903	0.000146666940016726	56	50	0.0936522648444877	0.670432025996916
s__Fusicatenibacter_saccharivorans	Gender	Male	0.000914317042907928	0.000525924378946753	56	45	0.0880419274175399	0.670432025996916
s__Akkermansia_muciniphila	Disease	Psoriasis	-0.00144904434031815	0.000842329759295175	56	15	0.0913279331086074	0.670432025996916
s__Pseudoflavonifractor_capillosus	Gender	Male	7.33180707459876e-05	4.53397305544355e-05	56	7	0.111911629651386	0.670432025996916
s__Mesosutterella_multiformis	Gender	Male	-0.00173152152543307	0.00102660797125059	56	29	0.0976632716449944	0.670432025996916
s__Intestinimonas_butyriciproducens	Gender	Male	7.38067507088074e-05	4.48471114476224e-05	56	23	0.105848899139628	0.670432025996916
s__Intestinimonas_butyriciproducens	BMI	BMI	-3.50110596599508e-05	2.07470140029398e-05	56	23	0.097493149195203	0.670432025996916
s__Candidatus_Cibionibacter_quicibialis	Disease	Psoriasis	-0.00255172740668248	0.00157985423298596	56	34	0.112326769267904	0.670432025996916
s__Clostridiales_bacterium_KLE1615	Disease	Psoriasis	-0.00029753559296467	0.000183989198097708	56	39	0.11189994382952	0.670432025996916
s__Clostridia_bacterium_UC5_1_1D1	BMI	BMI	-2.17463345359999e-05	1.33785181729556e-05	56	19	0.110109448296799	0.670432025996916
s__GGB3321_SGB4394	BMI	BMI	-0.000202595256043602	0.000126969671857321	56	11	0.116634188568803	0.676521620164745
s__GGB9559_SGB14969	Disease	Psoriasis	-2.63275304659258e-05	1.63974032767321e-05	56	6	0.114420308826571	0.676521620164745
s__GGB51510_SGB71883	Gender	Male	-3.15949674904082e-05	2.00504382478775e-05	56	7	0.12114281915493	0.676521620164745
s__Dorea_sp_AF36_15AT	BMI	BMI	-1.51413267847986e-05	9.58397349942568e-06	56	11	0.12020353112727	0.676521620164745
s__GGB9713_SGB15249	Gender	Male	0.00105636584854015	0.000668889847985055	56	14	0.120335808368227	0.676521620164745
s__GGB9616_SGB15052	Gender	Male	0.00016261006282415	0.000103295982785141	56	12	0.121503025012953	0.676521620164745
s__Alistipes_ihumii	Gender	Male	0.000749421586189209	0.000475626427809724	56	13	0.12117113009448	0.676521620164745
s__Bacteroides_eggerthii	Disease	Psoriasis	-0.0105409797626772	0.00658346429133185	56	41	0.115406615207384	0.676521620164745
s__Streptococcus_SGB14888	Disease	Psoriasis	-7.26790901010895e-06	4.61877710982708e-06	56	8	0.121655203626116	0.676521620164745
s__Coprobacter_fastidiosus	Gender	Male	0.00142182117227697	0.000897660179377482	56	9	0.119275680985532	0.676521620164745
s__Cloacibacillus_porcorum	Disease	Psoriasis	-0.000172668118954057	0.000108430730411656	56	11	0.117349965466069	0.676521620164745
s__Acidaminococcus_intestini	Disease	Psoriasis	-0.000360282880135862	0.000227407719874563	56	6	0.119188120026083	0.676521620164745
s__Enterobacter_hormaechei	Gender	Male	-0.000379272736407614	0.000240491541630373	56	13	0.120843539556007	0.676521620164745
s__Oscillospiraceae_bacterium_Marseille_Q3528	Gender	Male	2.76216995488049e-05	1.75173789755081e-05	56	14	0.120902524927549	0.676521620164745
s__GGB3256_SGB4303	Disease	Psoriasis	-0.00104588314723262	0.000667842325379883	56	19	0.123399777772776	0.678181467143981
s__GGB9707_SGB15229	Gender	Male	0.000608071826419514	0.000387593531061696	56	13	0.122751216368444	0.678181467143981
s__Faecalibacillus_intestinalis	Gender	Male	-0.00102147056387164	0.000652856036517931	56	33	0.123738372952586	0.678181467143981
s__Fusobacterium_varium	Disease	Psoriasis	-0.003045311967087	0.00195162634165895	56	12	0.124732085254851	0.680356828662826
s__GGB3256_SGB4303	Gender	Male	0.00104720444989237	0.00067638786818393	56	19	0.127631917509812	0.68632257528861
s__Streptococcus_salivarius	Gender	Male	-5.60663054843098e-05	3.61482203988268e-05	56	31	0.126964400688865	0.68632257528861
s__Intestinimonas_gabonensis	Disease	Psoriasis	-6.7898373824945e-06	4.38203743017851e-06	56	8	0.127333979904644	0.68632257528861
s__Alistipes_indistinctus	Disease	Psoriasis	-0.00137829949504588	0.000893408669286933	56	22	0.128957567443127	0.686970219089554
s__Lachnospiraceae_bacterium_Marseille_Q4251	Gender	Male	0.000232482852183098	0.000150510842838497	56	19	0.128501549641422	0.686970219089554
