ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecalis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_faecalis,0.24972297227099,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecalis
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9785;s__GGB9785_SGB15408,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__GGB9785,s__GGB9785_SGB15408,0.254995055783277,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9785;s__GGB9785_SGB15408
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9781;s__GGB9781_SGB15402,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__GGB9781,s__GGB9781_SGB15402,0.0929284468598124,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9781;s__GGB9781_SGB15402
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus_SGB14990,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Butyricicoccus,s__Butyricicoccus_SGB14990,0.212316526132395,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus_SGB14990
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB51959;s__GGB51959_SGB72479,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__GGB51959,s__GGB51959_SGB72479,0.168395736959881,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB51959;s__GGB51959_SGB72479
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Turicimonas;s__Turicimonas_muris,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Turicimonas,s__Turicimonas_muris,0.143490158460604,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Turicimonas;s__Turicimonas_muris
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus;s__Faecalibacillus_faecis,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalibacillus,s__Faecalibacillus_faecis,0.250226273305794,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus;s__Faecalibacillus_faecis
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_NSJ_31,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridiaceae_unclassified,s__Clostridiaceae_bacterium_NSJ_31,0.184231723247672,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_NSJ_31
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Eubacteriales_unclassified_SGB71281,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified,s__Eubacteriales_unclassified_SGB71281,0.202322975905276,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Eubacteriales_unclassified_SGB71281
k__Bacteria;p__Candidatus_Melainabacteria;c__Candidatus_Melainabacteria_unclassified;o__Candidatus_Gastranaerophilales;f__Candidatus_Gastranaerophilales_unclassified;g__Candidatus_Gastranaerophilales_unclassified;s__Candidatus_Gastranaerophilales_bacterium,k__Bacteria,Others,c__Candidatus_Melainabacteria_unclassified,o__Candidatus_Gastranaerophilales,f__Candidatus_Gastranaerophilales_unclassified,g__Candidatus_Gastranaerophilales_unclassified,s__Candidatus_Gastranaerophilales_bacterium,0.337102275446038,k__Bacteria;p__Candidatus_Melainabacteria;c__Candidatus_Melainabacteria_unclassified;o__Candidatus_Gastranaerophilales;f__Candidatus_Gastranaerophilales_unclassified;g__Candidatus_Gastranaerophilales_unclassified;s__Candidatus_Gastranaerophilales_bacterium
