"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_2_1_46FAA",25,0.39622641509434,6,25
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Ruminococcaceae_bacterium_Marseille_P2935",25,0.39622641509434,6,25
"k__Bacteria;p__Candidatus_Saccharibacteria;c__Candidatus_Saccharimonia;o__Candidatus_Saccharimonales;f__Candidatus_Sacchiramonaceae;g__Candidatus_Nanosynsacchari;s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1",25,0.39622641509434,6,25
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__Christensenella_sp_NSJ_35",2,0.0591304347826087,271,2
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Intestinimonas;s__Intestinimonas_massiliensis",2,0.0669291338582677,807,2
"k__Bacteria;p__Firmicutes;c__CFGB9120;o__OFGB9120;f__FGB9120;g__GGB4642;s__GGB4642_SGB6421",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1355;o__OFGB1355;f__FGB1355;g__GGB3306;s__GGB3306_SGB4373",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1800;o__OFGB1800;f__FGB1800;g__GGB4773;s__GGB4773_SGB6607",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1778;o__OFGB1778;f__FGB1778;g__GGB4710;s__GGB4710_SGB6522",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB3360;o__OFGB3360;f__FGB3360;g__GGB3360;s__GGB3360_SGB4444",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1347;o__OFGB1347;f__FGB1347;g__GGB3289;s__GGB3289_SGB4343",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3989",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB1337;o__OFGB1337;f__FGB1337;g__GGB3185;s__GGB3185_SGB4208",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB9581;o__OFGB9581;f__FGB9581;g__GGB9581;s__GGB9581_SGB4365",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9094;s__GGB9094_SGB14025",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2960;o__OFGB2960;f__FGB2960;g__GGB9302;s__GGB9302_SGB14263",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2942;o__OFGB2942;f__FGB2942;g__GGB9288;s__GGB9288_SGB14243",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9767;s__GGB9767_SGB15385",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB3039;o__OFGB3039;f__FGB3039;g__GGB9539;s__GGB9539_SGB14942",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9767;s__GGB9767_SGB15384",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9350;s__GGB9350_SGB14317",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB4623;o__OFGB4623;f__FGB4623;g__GGB9525;s__GGB9525_SGB14925",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB9977;o__OFGB9977;f__FGB9977;g__GGB9606;s__GGB9606_SGB15038",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2932;o__OFGB2932;f__FGB2932;g__GGB9261;s__GGB9261_SGB14209",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB2950;o__OFGB2950;f__FGB2950;g__GGB9291;s__GGB9291_SGB14248",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4667;s__GGB4667_SGB6456",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB10312;o__OFGB10312;f__FGB10312;g__GGB4643;s__GGB4643_SGB6427",90,0.235906331309627,24.7200792255796,90
